,Date,Value
0,2016-01-01,432.33
1,2016-01-02,433.94
2,2016-01-03,428.13
3,2016-01-04,433.0
4,2016-01-05,431.9
5,2016-01-06,430.75
6,2016-01-07,453.71
7,2016-01-08,447.04
8,2016-01-09,450.15
9,2016-01-10,446.24
10,2016-01-11,447.11
11,2016-01-12,446.66
12,2016-01-13,429.57
13,2016-01-14,431.9
14,2016-01-15,391.62
15,2016-01-16,370.4
16,2016-01-17,385.45
17,2016-01-18,385.28
18,2016-01-19,378.66
19,2016-01-20,408.33
20,2016-01-21,408.0
21,2016-01-22,385.7
22,2016-01-23,388.5
23,2016-01-24,404.75
24,2016-01-25,387.09
25,2016-01-26,394.12
26,2016-01-27,394.45
27,2016-01-28,382.44
28,2016-01-29,377.26
29,2016-01-30,378.24
30,2016-01-31,376.86
31,2016-02-01,372.0
32,2016-02-02,373.48
33,2016-02-03,368.38
34,2016-02-04,385.06
35,2016-02-05,386.49
36,2016-02-06,373.04
37,2016-02-07,373.74
38,2016-02-08,375.8
39,2016-02-09,372.61
40,2016-02-10,378.98
41,2016-02-11,376.75
42,2016-02-12,381.46
43,2016-02-13,388.6
44,2016-02-14,402.38
45,2016-02-15,402.64
46,2016-02-16,406.69
47,2016-02-17,418.04
48,2016-02-18,418.97
49,2016-02-19,418.02
50,2016-02-20,439.48
51,2016-02-21,434.67
52,2016-02-22,438.5
53,2016-02-23,417.0
54,2016-02-24,423.1
55,2016-02-25,421.4
56,2016-02-26,424.34
57,2016-02-27,432.0
58,2016-02-28,433.47
59,2016-02-29,436.18
60,2016-03-01,431.87
61,2016-03-02,429.99
62,2016-03-03,421.44
63,2016-03-04,416.48
64,2016-03-05,401.0
65,2016-03-06,408.86
66,2016-03-07,411.94
67,2016-03-08,412.39
68,2016-03-09,413.1
69,2016-03-10,416.0
70,2016-03-11,421.22
71,2016-03-12,412.44
72,2016-03-13,413.89
73,2016-03-14,414.78
74,2016-03-15,414.78
75,2016-03-16,415.99
76,2016-03-17,418.64
77,2016-03-18,408.87
78,2016-03-19,405.59
79,2016-03-20,410.77
80,2016-03-21,410.49
81,2016-03-22,415.35
82,2016-03-23,417.8
83,2016-03-24,416.47
84,2016-03-25,416.44
85,2016-03-26,415.71
86,2016-03-27,426.8
87,2016-03-28,422.96
88,2016-03-29,414.0
89,2016-03-30,412.35
90,2016-03-31,416.94
91,2016-04-01,416.25
92,2016-04-02,418.07
93,2016-04-03,418.07
94,2016-04-04,418.99
95,2016-04-05,421.77
96,2016-04-06,421.09
97,2016-04-07,420.33
98,2016-04-08,422.2
99,2016-04-09,417.73
100,2016-04-10,421.63
101,2016-04-11,420.69
102,2016-04-12,425.89
103,2016-04-13,424.61
104,2016-04-14,423.76
105,2016-04-15,429.09
106,2016-04-16,429.43
107,2016-04-17,425.71
108,2016-04-18,427.28
109,2016-04-19,435.91
110,2016-04-20,442.34
111,2016-04-21,451.0
112,2016-04-22,447.25
113,2016-04-23,451.29
114,2016-04-24,459.4
115,2016-04-25,463.86
116,2016-04-26,467.98
117,2016-04-27,447.31
118,2016-04-28,450.0
119,2016-04-29,456.16
120,2016-04-30,447.17
121,2016-05-01,451.9
122,2016-05-02,443.9
123,2016-05-03,450.96
124,2016-05-04,447.37
125,2016-05-05,448.51
126,2016-05-06,460.91
127,2016-05-07,459.04
128,2016-05-08,457.82
129,2016-05-09,461.63
130,2016-05-10,450.0
131,2016-05-11,452.51
132,2016-05-12,454.7
133,2016-05-13,456.82
134,2016-05-14,455.65
135,2016-05-15,457.08
136,2016-05-16,454.88
137,2016-05-17,452.89
138,2016-05-18,452.9
139,2016-05-19,441.87
140,2016-05-20,441.25
141,2016-05-21,443.89
142,2016-05-22,438.0
143,2016-05-23,442.17
144,2016-05-24,445.34
145,2016-05-25,447.94
146,2016-05-26,452.49
147,2016-05-27,470.29
148,2016-05-28,522.43
149,2016-05-29,512.16
150,2016-05-30,525.15
151,2016-05-31,531.15
152,2016-06-01,539.47
153,2016-06-02,539.99
154,2016-06-03,568.0
155,2016-06-04,573.74
156,2016-06-05,574.02
157,2016-06-06,584.5
158,2016-06-07,577.54
159,2016-06-08,578.68
160,2016-06-09,575.2941375
161,2016-06-10,577.549875
162,2016-06-11,594.4399875
163,2016-06-12,664.8465
164,2016-06-13,702.0665
165,2016-06-14,685.24
166,2016-06-15,692.28
167,2016-06-16,762.43
168,2016-06-17,743.91
169,2016-06-18,754.36
170,2016-06-19,760.81
171,2016-06-20,729.19
172,2016-06-21,665.95
173,2016-06-22,587.45
174,2016-06-23,624.54
175,2016-06-24,660.6
176,2016-06-25,664.9
177,2016-06-26,627.39
178,2016-06-27,646.7
179,2016-06-28,646.37
180,2016-06-29,637.95
181,2016-06-30,671.4
182,2016-07-01,675.18
183,2016-07-02,701.71
184,2016-07-03,658.41
185,2016-07-04,676.32
186,2016-07-05,666.48
187,2016-07-06,673.78
188,2016-07-07,636.35
189,2016-07-08,659.55
190,2016-07-09,651.86
191,2016-07-10,648.09
192,2016-07-11,647.98
193,2016-07-12,672.76
194,2016-07-13,657.45
195,2016-07-14,658.83
196,2016-07-15,664.57
197,2016-07-16,662.15
198,2016-07-17,675.45
199,2016-07-18,673.2
200,2016-07-19,672.84
201,2016-07-20,665.64
202,2016-07-21,664.88
203,2016-07-22,651.58
204,2016-07-23,655.84
205,2016-07-24,661.41
206,2016-07-25,654.69
207,2016-07-26,655.06
208,2016-07-27,654.98
209,2016-07-28,655.32
210,2016-07-29,656.88
211,2016-07-30,654.73
212,2016-07-31,628.01
213,2016-08-01,606.32
214,2016-08-02,515.06
215,2016-08-03,565.05
216,2016-08-04,577.31
217,2016-08-05,576.55
218,2016-08-06,588.23
219,2016-08-07,594.27
220,2016-08-08,592.69
221,2016-08-09,588.77
222,2016-08-10,592.18
223,2016-08-11,589.24
224,2016-08-12,587.75
225,2016-08-13,586.43
226,2016-08-14,570.97
227,2016-08-15,570.14
228,2016-08-16,581.11
229,2016-08-17,575.51
230,2016-08-18,576.03
231,2016-08-19,576.65
232,2016-08-20,583.2
233,2016-08-21,582.82
234,2016-08-22,588.97
235,2016-08-23,586.18
236,2016-08-24,582.84
237,2016-08-25,579.86
238,2016-08-26,581.07
239,2016-08-27,571.54
240,2016-08-28,576.53
241,2016-08-29,575.22
242,2016-08-30,578.61
243,2016-08-31,574.82
244,2016-09-01,572.81
245,2016-09-02,576.21
246,2016-09-03,600.88
247,2016-09-04,610.59
248,2016-09-05,608.1
249,2016-09-06,611.09
250,2016-09-07,614.46
251,2016-09-08,627.77
252,2016-09-09,625.07
253,2016-09-10,625.76
254,2016-09-11,608.15
255,2016-09-12,609.67
256,2016-09-13,610.92
257,2016-09-14,612.08
258,2016-09-15,610.38
259,2016-09-16,609.11
260,2016-09-17,608.0
261,2016-09-18,611.58
262,2016-09-19,610.19
263,2016-09-20,609.74
264,2016-09-21,598.88
265,2016-09-22,597.42
266,2016-09-23,604.22
267,2016-09-24,603.88
268,2016-09-25,601.74
269,2016-09-26,608.14
270,2016-09-27,605.96
271,2016-09-28,605.67
272,2016-09-29,606.36
273,2016-09-30,609.39
274,2016-10-01,614.82
275,2016-10-02,610.51
276,2016-10-03,611.85
277,2016-10-04,609.62
278,2016-10-05,612.35
279,2016-10-06,612.08
280,2016-10-07,617.21
281,2016-10-08,618.04
282,2016-10-09,615.65
283,2016-10-10,617.54
284,2016-10-11,639.3
285,2016-10-12,635.01
286,2016-10-13,635.96
287,2016-10-14,639.56
288,2016-10-15,637.94
289,2016-10-16,641.42
290,2016-10-17,638.18
291,2016-10-18,636.29
292,2016-10-19,629.25
293,2016-10-20,630.22
294,2016-10-21,631.92
295,2016-10-22,655.48
296,2016-10-23,653.0
297,2016-10-24,651.39
298,2016-10-25,655.31
299,2016-10-26,672.22
300,2016-10-27,682.22
301,2016-10-28,687.68
302,2016-10-29,714.89
303,2016-10-30,698.0
304,2016-10-31,702.0
305,2016-11-01,728.2
306,2016-11-02,733.33
307,2016-11-03,686.17
308,2016-11-04,703.69
309,2016-11-05,704.79
310,2016-11-06,712.0
311,2016-11-07,703.81
312,2016-11-08,708.97
313,2016-11-09,720.93
314,2016-11-10,713.69
315,2016-11-11,715.45
316,2016-11-12,703.71
317,2016-11-13,701.9
318,2016-11-14,706.46
319,2016-11-15,710.91
320,2016-11-16,736.91
321,2016-11-17,736.96
322,2016-11-18,747.52
323,2016-11-19,750.03
324,2016-11-20,729.06
325,2016-11-21,738.53
326,2016-11-22,748.74
327,2016-11-23,741.63
328,2016-11-24,737.45
329,2016-11-25,739.78
330,2016-11-26,733.67
331,2016-11-27,727.96
332,2016-11-28,733.05
333,2016-11-29,732.71
334,2016-11-30,742.69
335,2016-12-01,752.24
336,2016-12-02,772.43
337,2016-12-03,764.33
338,2016-12-04,764.81
339,2016-12-05,754.63
340,2016-12-06,756.62
341,2016-12-07,766.11
342,2016-12-08,769.72
343,2016-12-09,770.02
344,2016-12-10,773.4
345,2016-12-11,777.0
346,2016-12-12,777.0
347,2016-12-13,778.49
348,2016-12-14,774.89
349,2016-12-15,776.75
350,2016-12-16,781.56
351,2016-12-17,788.7
352,2016-12-18,788.4
353,2016-12-19,789.52
354,2016-12-20,793.09
355,2016-12-21,824.21
356,2016-12-22,860.59
357,2016-12-23,901.31
358,2016-12-24,891.61
359,2016-12-25,886.9
360,2016-12-26,897.33
361,2016-12-27,930.37
362,2016-12-28,967.48
363,2016-12-29,963.38
364,2016-12-30,952.15
365,2016-12-31,959.87
366,2017-01-01,997.72
367,2017-01-02,1015.97
368,2017-01-03,1023.14
369,2017-01-04,1126.76
370,2017-01-05,994.67
371,2017-01-06,883.09
372,2017-01-07,896.83
373,2017-01-08,908.14
374,2017-01-09,894.18
375,2017-01-10,906.05
376,2017-01-11,785.22
377,2017-01-12,803.37
378,2017-01-13,826.29
