;Vazões volumétricas (L/min);;;;
tempo (h);x1;x2;x3;x4;x5
2;1880;1886;1648;1558;1775
4;1490;2400;2045;2084;2194
6;1734;2122;1703;1818;2225
8;1797;1648;1630;1113;1536
10;1845;1980;1920;1618;1887
12;1246;1707;1707;1434;1541
14;1354;1941;1683;1269;1669
16;1765;2103;1819;1716;1873
18;1683;2984;2795;2413;2582
20;1682;1749;1604;1388;1512
22;1265;1712;1593;1520;1669
24;1352;2049;1910;1630;1901
26;1206;1836;1837;1591;1737
28;1788;1871;1689;1497;1682
30;1888;1856;1646;1386;1711
32;1844;1953;2148;1179;1280
34;1585;1324;1169;1001;1175
36;1265;1418;1370;1251;1307
38;1731;1830;1636;1604;1757
40;1337;1726;1595;1314;1647
42;1440;2278;2191;1549;2113
44;1298;1899;1614;1422;1477
46;1786;1634;1514;1291;1517
48;1769;2061;1867;1646;2037
50;1379;1856;1493;1356;1533
52;1638;1724;1409;1235;1466
54;1445;2171;1899;1704;1837
56;1563;1654;1674;1413;1596
58;1735;2329;2304;2068;2237
60;1682;1491;1383;1215;1285
