anomesdia,inteiro
2020-01-01,20200101
2020-01-02,20200102
2020-01-03,20200103
2020-01-04,20200104
2020-01-05,20200105
2020-01-06,20200106
2020-01-07,20200107
2020-01-08,20200108
2020-01-09,20200109
2020-01-10,20200110
2020-01-11,20200111
2020-01-12,20200112
2020-01-13,20200113
2020-01-14,20200114
2020-01-15,20200115
2020-01-16,20200116
2020-01-17,20200117
2020-01-18,20200118
2020-01-19,20200119
2020-01-20,20200120
2020-01-21,20200121
2020-01-22,20200122
2020-01-23,20200123
2020-01-24,20200124
2020-01-25,20200125
2020-01-26,20200126
2020-01-27,20200127
2020-01-28,20200128
2020-01-29,20200129
2020-01-30,20200130
2020-01-31,20200131
2020-02-01,20200201
2020-02-02,20200202
2020-02-03,20200203
2020-02-04,20200204
2020-02-05,20200205
2020-02-06,20200206
2020-02-07,20200207
2020-02-08,20200208
2020-02-09,20200209
2020-02-10,20200210
2020-02-11,20200211
2020-02-12,20200212
2020-02-13,20200213
2020-02-14,20200214
2020-02-15,20200215
2020-02-16,20200216
2020-02-17,20200217
2020-02-18,20200218
2020-02-19,20200219
2020-02-20,20200220
2020-02-21,20200221
2020-02-22,20200222
2020-02-23,20200223
2020-02-24,20200224
2020-02-25,20200225
2020-02-26,20200226
2020-02-27,20200227
2020-02-28,20200228
2020-02-29,20200229
2020-03-01,20200301
2020-03-02,20200302
2020-03-03,20200303
2020-03-04,20200304
2020-03-05,20200305
2020-03-06,20200306
2020-03-07,20200307
2020-03-08,20200308
2020-03-09,20200309
2020-03-10,20200310
2020-03-11,20200311
2020-03-12,20200312
2020-03-13,20200313
2020-03-14,20200314
2020-03-15,20200315
2020-03-16,20200316
2020-03-17,20200317
2020-03-18,20200318
2020-03-19,20200319
2020-03-20,20200320
2020-03-21,20200321
2020-03-22,20200322
2020-03-23,20200323
2020-03-24,20200324
2020-03-25,20200325
2020-03-26,20200326
2020-03-27,20200327
2020-03-28,20200328
2020-03-29,20200329
2020-03-30,20200330
2020-03-31,20200331
2020-04-01,20200401
2020-04-02,20200402
2020-04-03,20200403
2020-04-04,20200404
2020-04-05,20200405
2020-04-06,20200406
2020-04-07,20200407
2020-04-08,20200408
2020-04-09,20200409
2020-04-10,20200410
2020-04-11,20200411
2020-04-12,20200412
2020-04-13,20200413
2020-04-14,20200414
2020-04-15,20200415
2020-04-16,20200416
2020-04-17,20200417
2020-04-18,20200418
2020-04-19,20200419
2020-04-20,20200420
2020-04-21,20200421
2020-04-22,20200422
2020-04-23,20200423
2020-04-24,20200424
2020-04-25,20200425
2020-04-26,20200426
2020-04-27,20200427
2020-04-28,20200428
2020-04-29,20200429
2020-04-30,20200430
2020-05-01,20200501
2020-05-02,20200502
2020-05-03,20200503
2020-05-04,20200504
2020-05-05,20200505
2020-05-06,20200506
2020-05-07,20200507
2020-05-08,20200508
2020-05-09,20200509
2020-05-10,20200510
2020-05-11,20200511
2020-05-12,20200512
2020-05-13,20200513
2020-05-14,20200514
2020-05-15,20200515
2020-05-16,20200516
2020-05-17,20200517
2020-05-18,20200518
2020-05-19,20200519
2020-05-20,20200520
2020-05-21,20200521
2020-05-22,20200522
2020-05-23,20200523
2020-05-24,20200524
2020-05-25,20200525
2020-05-26,20200526
2020-05-27,20200527
2020-05-28,20200528
2020-05-29,20200529
2020-05-30,20200530
2020-05-31,20200531
2020-06-01,20200601
2020-06-02,20200602
2020-06-03,20200603
2020-06-04,20200604
2020-06-05,20200605
2020-06-06,20200606
2020-06-07,20200607
2020-06-08,20200608
2020-06-09,20200609
2020-06-10,20200610
2020-06-11,20200611
2020-06-12,20200612
2020-06-13,20200613
2020-06-14,20200614
2020-06-15,20200615
2020-06-16,20200616
2020-06-17,20200617
2020-06-18,20200618
2020-06-19,20200619
2020-06-20,20200620
2020-06-21,20200621
2020-06-22,20200622
2020-06-23,20200623
2020-06-24,20200624
2020-06-25,20200625
2020-06-26,20200626
2020-06-27,20200627
2020-06-28,20200628
2020-06-29,20200629
2020-06-30,20200630
2020-07-01,20200701
2020-07-02,20200702
2020-07-03,20200703
2020-07-04,20200704
2020-07-05,20200705
2020-07-06,20200706
2020-07-07,20200707
2020-07-08,20200708
2020-07-09,20200709
2020-07-10,20200710
2020-07-11,20200711
2020-07-12,20200712
2020-07-13,20200713
2020-07-14,20200714
2020-07-15,20200715
2020-07-16,20200716
2020-07-17,20200717
2020-07-18,20200718
2020-07-19,20200719
2020-07-20,20200720
2020-07-21,20200721
2020-07-22,20200722
2020-07-23,20200723
2020-07-24,20200724
2020-07-25,20200725
2020-07-26,20200726
2020-07-27,20200727
